
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-16 18:35:25 / ................................................ ~ 1s
  2026-05-16 18:42:14 / ............................................ ~ 0.16ms
  2026-05-16 18:45:47 / ............................................ ~ 0.22ms
  2026-05-16 18:49:17 / ............................................ ~ 0.15ms
  2026-05-16 21:20:09 / ........................................... ~ 24.33ms
  2026-05-16 21:21:32 /register .................................... ~ 0.16ms
  2026-05-16 21:25:10 /register .................................... ~ 0.28ms
  2026-05-16 21:25:10 /register .................................. ~ 501.12ms
  2026-05-16 21:25:11 /dashboard ................................... ~ 0.04ms
